"Players","HR.Career"
"parrila02",0.00386660938356469
"allisbo01",0.00379253640686805
"parrila01",0.00379253640686805
"pinsova01",0.00379253640686805
"maybejo01",0.00377772181152872
"dobyla01",0.00374809262085006
"gordojo01",0.00374809262085006
"thornan01",0.00374809262085006
"murcebo01",0.00373327802551073
"torrejo01",0.00373327802551073
"armasto01",0.0037184634301714
"willicy01",0.0037184634301714
"gosligo01",0.00367401964415342
"simmote01",0.00367401964415342
"stephve01",0.00365920504881409
"singlke01",0.00364439045347476
"johnsde01",0.00362957585813544
"wilsoha01",0.00361476126279611
"bakerdu01",0.00358513207211745
"bandosa01",0.00358513207211745
"bergewa01",0.00358513207211745
"camparo01",0.00358513207211745
"coopece01",0.00357031747677812
"mondari01",0.00357031747677812
"burroje01",0.00355550288143879
"clemero01",0.00355550288143879
"camildo01",0.00354068828609947
"averiea01",0.00352587369076014
"decindo01",0.00351105909542081
"zernigu01",0.00351105909542081
"hartnga01",0.00349624450008148
"nichobi01",0.00348142990474215
"oglivbe01",0.00348142990474215
"downibr01",0.00346661530940282
"matthga01",0.00346661530940282
"stuardi01",0.00337772773736685
"troskha01",0.00337772773736685
"callijo01",0.0033480985466882
"grichbo01",0.00331846935600954
"doerrbo01",0.00330365476067021
"olivato01",0.00325921097465223
"bottoji01",0.0032443963793129
"oliveal01",0.0032443963793129
"pepitjo01",0.0032443963793129
"hornebo01",0.00322958178397357
"fairlro01",0.00318513799795559
"strawda01",0.00318513799795559
"pafkoan01",0.00315550880727693
"skowrbi01",0.00312587961659827
"wagnele01",0.00312587961659827
"lemonch01",0.00311106502125894
"petrori01",0.00311106502125894
"postwa01",0.00311106502125894
"brunato01",0.00308143583058029
"thompja01",0.00308143583058029
"yountro01",0.00308143583058029
"ziskri01",0.00306662123524096
"aloufe01",0.00305180663990163
"bellgu01",0.00305180663990163
"medwijo01",0.0030369920445623
"ripkeca01",0.00302217744922297
"cartyri01",0.00300736285388365
"hebneri01",0.00300736285388365
"dickebi01",0.00299254825854432
"gordosi01",0.00299254825854432
"whitebi03",0.00299254825854432
"bellbu01",0.00297773366320499
"hrbekke01",0.00297773366320499
"tenacge01",0.00297773366320499
"freehbi01",0.00296291906786566
"gamblos01",0.00296291906786566
"minchdo01",0.00296291906786566
"cedence01",0.00294810447252633
"jenseja01",0.00294810447252633
"barfije01",0.00291847528184768
"mcauldi01",0.00291847528184768
"johnscl01",0.00290366068650835
"willike01",0.00290366068650835
"harrato01",0.00288884609116902
"heathje01",0.00287403149582969
"guerrpe01",0.00285921690049036
"otisam01",0.00285921690049036
