"playerID","yearID","teamID","lgID","HR","AB","Age","park","POS","N_i","E","B1","B2","B3"
"swishni01",2006,"OAK","AL",35,556,26,"McAfee Coliseum","1B",2,"1",0.416745254007954,0.132600762638895,0.0140637172495797
"tagucso01",2006,"SLN","NL",2,316,37,"Busch Stadium III","LF",3,"0",0.267907663290828,0.438394358112264,0.239124195333962
"taverwi01",2006,"HOU","NL",1,529,25,"Minute Maid Park","CF",2,"0",0.390421911517487,0.10184919430891,0.00885645167903563
"teahema01",2006,"KCA","AL",18,393,25,"Kauffman Stadium","3B",2,"0",0.390421911517487,0.10184919430891,0.00885645167903563
"teixema01",2006,"TEX","AL",33,628,26,"Ameriquest Field","1B",4,"1",0.416745254007954,0.132600762638895,0.0140637172495797
"tejadmi01",2006,"BAL","AL",24,648,32,"Oriole Park at Camden Yards","SS",10,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"thamema01",2006,"DET","AL",26,348,29,"Comerica Park","LF",3,"1",0.444052646684981,0.233711919307885,0.0410020911066464
"theriry01",2006,"CHN","NL",3,134,27,"Wrigley Field","2B",1,"0",0.433966132272746,0.165320431341998,0.020993070646603
"thomafr04",2006,"OAK","AL",39,466,38,"McAfee Coliseum","DH",16,"1",0.233711919307885,0.444052646684981,0.281233342900488
"thomeji01",2006,"CHA","AL",42,490,36,"U.S. Cellular Field","DH",16,"1",0.301119357087211,0.426585755873549,0.201443273606954
"thormsc01",2006,"ATL","NL",5,128,24,"Turner Field","LF",1,"0",0.354258067161425,0.0738037639919636,0.00512526138833081
"torreyo01",2006,"COL","NL",7,223,28,"Coors Field","C",6,"0",0.442822583951782,0.199270162778302,0.0298905244167453
"tracych01",2006,"ARI","NL",20,597,26,"Chase Field","3B",3,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"treanma01",2006,"FLO","NL",2,157,30,"Joe Robbie Stadium","C",2,"0",0.438394358112264,0.267907663290828,0.0545737832629464
"tulowtr01",2006,"COL","NL",1,96,22,"Coors Field","SS",1,"0",0.249456722292837,0.0287834679568658,0.00110705645987945
"tynerja01",2006,"MIN","AL",0,218,29,"Hubert H Humphrey Metrodome","LF",5,"0",0.444052646684981,0.233711919307885,0.0410020911066464
"ugglada01",2006,"FLO","NL",27,611,26,"Joe Robbie Stadium","2B",1,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"uptonbj01",2006,"TBA","AL",1,175,22,"Tropicana Field","3B",2,"0",0.249456722292837,0.0287834679568658,0.00110705645987945
"uribeju01",2006,"CHA","AL",21,463,27,"U.S. Cellular Field","SS",6,"0",0.433966132272746,0.165320431341998,0.020993070646603
"utleych01",2006,"PHI","NL",32,658,28,"Citizens Bank Park","2B",4,"0",0.442822583951782,0.199270162778302,0.0298905244167453
"valenja01",2006,"CIN","NL",8,186,31,"Great American Ball Park","C",6,"0",0.426585755873549,0.301119357087211,0.070851613432285
"valenjo03",2006,"NYN","NL",18,384,37,"Shea Stadium","2B",13,"0",0.267907663290828,0.438394358112264,0.239124195333962
"varitja01",2006,"BOS","AL",12,365,34,"Fenway Park II","C",9,"0",0.361638443560622,0.387469760957809,0.138382057484932
"victosh01",2006,"PHI","NL",6,415,26,"Citizens Bank Park","CF",1,"0",0.416745254007954,0.132600762638895,0.0140637172495797
"vidrojo01",2006,"WAS","NL",7,463,32,"R.F.K. Stadium","2B",10,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"vizcajo01",2006,"SFN","NL",1,119,38,"AT&T Park","SS",18,"0",0.233711919307885,0.444052646684981,0.281233342900488
"vizquom01",2006,"SFN","NL",4,579,39,"AT&T Park","SS",17,"0",0.199270162778302,0.442822583951782,0.328016728853172
"walketo04",2006,"SDN","NL",3,124,33,"Petco Park","2B",14,"0",0.387469760957809,0.361638443560622,0.112509737996638
"walketo04",2006,"CHN","NL",6,318,33,"Wrigley Field","2B",14,"0",0.387469760957809,0.361638443560622,0.112509737996638
"wardda01",2006,"WAS","NL",6,104,31,"R.F.K. Stadium","RF",8,"1",0.426585755873549,0.301119357087211,0.070851613432285
"weeksri01",2006,"MIL","NL",8,359,24,"Miller Park","2B",2,"0",0.354258067161425,0.0738037639919636,0.00512526138833081
"wellsve01",2006,"TOR","AL",32,611,28,"Rogers Centre","CF",7,"1",0.442822583951782,0.199270162778302,0.0298905244167453
"whitero02",2006,"MIN","AL",7,337,34,"Hubert H Humphrey Metrodome","DH",14,"0",0.361638443560622,0.387469760957809,0.138382057484932
"widgech01",2006,"CHA","AL",1,76,35,"U.S. Cellular Field","C",7,"0",0.332608963057116,0.409364877608758,0.167944565172824
"wiggity01",2006,"TBA","AL",24,444,29,"Tropicana Field","1B",6,"1",0.444052646684981,0.233711919307885,0.0410020911066464
"wilkebr01",2006,"TEX","AL",15,320,29,"Ameriquest Field","LF",6,"0",0.444052646684981,0.233711919307885,0.0410020911066464
"willibe02",2006,"NYA","AL",12,420,38,"Yankee Stadium II","RF",16,"0",0.233711919307885,0.444052646684981,0.281233342900488
"willijo03",2006,"FLO","NL",26,502,27,"Joe Robbie Stadium","LF",1,"1",0.433966132272746,0.165320431341998,0.020993070646603
"wilsocr03",2006,"NYA","AL",4,104,30,"Yankee Stadium II","1B",7,"0",0.438394358112264,0.267907663290828,0.0545737832629464
"wilsocr03",2006,"PIT","NL",13,255,30,"PNC Park","1B",7,"1",0.438394358112264,0.267907663290828,0.0545737832629464
"wilsoja02",2006,"PIT","NL",8,543,29,"PNC Park","SS",6,"0",0.444052646684981,0.233711919307885,0.0410020911066464
"wilsopr01",2006,"SLN","NL",8,111,32,"Busch Stadium III","LF",10,"1",0.409364877608758,0.332608963057116,0.0900815941613022
"wilsopr01",2006,"HOU","NL",9,390,32,"Minute Maid Park","LF",10,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"wilsova01",2006,"DET","AL",5,152,33,"Comerica Park","C",5,"0",0.387469760957809,0.361638443560622,0.112509737996638
"winnra01",2006,"SFN","NL",11,573,32,"AT&T Park","RF",10,"0",0.409364877608758,0.332608963057116,0.0900815941613022
"woodwch01",2006,"NYN","NL",3,222,30,"Shea Stadium","2B",6,"0",0.438394358112264,0.267907663290828,0.0545737832629464
"wrighda03",2006,"NYN","NL",26,582,24,"Shea Stadium","3B",3,"0",0.354258067161425,0.0738037639919636,0.00512526138833081
"youklke01",2006,"BOS","AL",13,569,27,"Fenway Park II","1B",3,"0",0.433966132272746,0.165320431341998,0.020993070646603
"youngde03",2006,"TBA","AL",3,126,21,"Tropicana Field","RF",1,"0",0.179343146500472,0.0132846775185534,0.000328016728853171
"youngdm01",2006,"DET","AL",7,172,33,"Comerica Park","DH",10,"0",0.387469760957809,0.361638443560622,0.112509737996638
"younger01",2006,"SDN","NL",3,128,39,"Petco Park","LF",16,"0",0.199270162778302,0.442822583951782,0.328016728853172
"youngmi02",2006,"TEX","AL",14,691,30,"Ameriquest Field","SS",6,"0",0.438394358112264,0.267907663290828,0.0545737832629464
"zaungr01",2006,"TOR","AL",12,290,35,"Rogers Centre","C",12,"0",0.332608963057116,0.409364877608758,0.167944565172824
"zimmery01",2006,"WAS","NL",20,614,22,"R.F.K. Stadium","3B",1,"0",0.249456722292837,0.0287834679568658,0.00110705645987945
"zobribe01",2006,"TBA","AL",2,183,25,"Tropicana Field","SS",1,"0",0.390421911517487,0.10184919430891,0.00885645167903563
